Run,Mean Menu Queue Time,Mean Poke Queue Time,Mean Self Decision Queue Time,Mean Total Queue,Menu Count,Poke Count,Self-Decision Count,No Food Count,Total Order Count,Menu Revenue (€),Poke Revenue (€),Self Decision Revenue (€),Total Revenue (€)
0,0.0,0.08887024948327626,0.0,0.02962341649442542,270,141,69,20,480,2403.0,1551,276,4230.0
1,0.0,0.015193620212579318,0.0,0.005064540070859773,255,152,80,18,487,2269.5,1672,320,4261.5
2,0.0,0.023458858408868105,0.0,0.007819619469622702,218,157,70,36,445,1940.2,1727,280,3947.2
3,0.0,0.007474469788591711,0.0,0.0024914899295305705,269,147,64,21,480,2394.1,1617,256,4267.1
4,0.0,0.017313732412619808,0.0,0.005771244137539936,234,139,86,15,459,2082.6,1529,344,3955.6
5,0.0,0.08246637181516137,0.0,0.027488790605053787,239,152,87,23,478,2127.1,1672,348,4147.1
6,0.0,0.024602223017915394,0.0,0.008200741005971799,268,139,61,28,468,2385.2000000000003,1529,244,4158.200000000001
7,0.0,0.11095457800369957,0.0,0.03698485933456652,248,168,82,17,498,2207.2000000000003,1848,328,4383.200000000001
8,0.0,0.21606771844362868,0.0,0.0720225728145429,245,163,71,25,479,2180.5,1793,284,4257.5
9,0.0,0.03695654354013175,0.0,0.012318847846710584,241,172,80,28,493,2144.9,1892,320,4356.9
10,0.0,0.03408114769243724,0.0,0.011360382564145746,268,160,79,25,507,2385.2000000000003,1760,316,4461.200000000001
11,0.0,0.04186706855837134,0.01114408620186359,0.01767038492007831,255,170,93,23,518,2269.5,1870,372,4511.5
12,0.0,0.05801914404806407,0.0,0.01933971468268802,238,175,74,26,487,2118.2000000000003,1925,296,4339.200000000001
13,0.0,0.0,0.0,0.0,242,151,72,24,465,2153.8,1661,288,4102.8
14,0.0,0.059200300762935,0.0,0.019733433587645,213,169,83,25,465,1895.7,1859,332,4086.7
15,0.0,0.0849948635576,0.0,0.028331621185866667,279,152,80,27,511,2483.1,1672,320,4475.1
16,0.0,0.07423978932413287,0.0,0.024746596441377625,248,142,72,20,462,2207.2000000000003,1562,288,4057.2000000000003
17,0.0,0.05810092669294839,0.0,0.01936697556431613,250,139,82,27,471,2225.0,1529,328,4082.0
18,0.0,0.02276184570056486,0.0,0.007587281900188286,239,153,76,25,468,2127.1,1683,304,4114.1
19,0.0,0.014632017496676114,0.0,0.004877339165558704,268,139,84,30,491,2385.2000000000003,1529,336,4250.200000000001
20,0.0,0.08890889538979618,0.0,0.029636298463265393,239,167,77,26,483,2127.1,1837,308,4272.1
21,0.0,0.03610139688958548,0.0,0.01203379896319516,235,171,64,31,470,2091.5,1881,256,4228.5
22,0.0,0.038424422623146236,0.0,0.012808140874382078,256,151,73,27,480,2278.4,1661,292,4231.4
23,0.0,0.04989648773137814,0.0,0.016632162577126047,263,154,74,20,491,2340.7000000000003,1694,296,4330.700000000001
24,0.0,0.04487698888390383,0.0,0.01495899629463461,226,160,84,25,470,2011.4,1760,336,4107.4
25,0.0,0.08240192563395965,0.0,0.027467308544653218,263,160,80,22,503,2340.7000000000003,1760,320,4420.700000000001
26,0.0,0.07784950827858528,0.0,0.02594983609286176,271,165,71,25,507,2411.9,1815,284,4510.9
27,0.0,0.021247217999485625,0.0,0.007082405999828542,245,181,83,23,509,2180.5,1991,332,4503.5
28,0.0,0.043308901534553135,0.0,0.014436300511517711,257,151,82,23,490,2287.3,1661,328,4276.3
29,0.0,0.08300236969567658,0.0,0.027667456565225526,225,161,81,31,467,2002.5,1771,324,4097.5
30,0.0,0.14217960112635852,0.0,0.04739320037545284,239,157,96,26,492,2127.1,1727,384,4238.1
31,0.0,0.0003107296007862989,0.0,0.00010357653359543296,269,126,84,36,479,2394.1,1386,336,4116.1
32,0.0,0.029723112123481842,0.0,0.009907704041160615,252,164,94,30,510,2242.8,1804,376,4422.8
33,0.0,0.012294652433567522,0.005363507854044541,0.005886053429204021,252,141,79,23,472,2242.8,1551,316,4109.8
34,0.0,0.08677605554943842,0.0,0.028925351849812805,231,161,70,27,462,2055.9,1771,280,4106.9
35,0.0,0.05439149893902737,0.0,0.018130499646342457,257,160,61,27,478,2287.3,1760,244,4291.3
36,0.0,0.030496526987203003,0.0,0.010165508995734334,247,147,79,20,473,2198.3,1617,316,4131.3
37,0.0,0.06484473214879788,0.0,0.02161491071626596,299,164,66,21,529,2661.1,1804,264,4729.1
38,0.0,0.0013205789542954885,0.0,0.00044019298476516286,270,137,70,33,477,2403.0,1507,280,4190.0
39,0.0,0.11062423743457722,0.0,0.03687474581152574,249,175,81,28,505,2216.1,1925,324,4465.1
40,0.0,0.07199143728871915,0.0,0.023997145762906385,285,146,76,31,507,2536.5,1606,304,4446.5
41,0.0,0.004749260347773298,0.0,0.0015830867825910994,265,139,66,33,470,2358.5,1529,264,4151.5
42,0.0,0.1003516107084281,0.0,0.033450536902809365,276,168,75,20,519,2456.4,1848,300,4604.4
43,0.0,0.06595404665001652,0.0,0.02198468221667217,231,159,81,26,471,2055.9,1749,324,4128.9
44,0.0,0.0885113462938505,0.0,0.029503782097950168,290,148,63,28,501,2581.0,1628,252,4461.0
45,0.0,0.03675950383845944,0.0,0.012253167946153146,274,156,75,15,505,2438.6,1716,300,4454.6
46,0.0,0.1014756920052473,0.0,0.033825230668415765,284,155,65,22,504,2527.6,1705,260,4492.6
47,0.0,0.03892526469160234,0.0,0.012975088230534114,245,144,87,27,476,2180.5,1584,348,4112.5
48,0.0,0.09261850656870405,0.0,0.03087283552290135,261,145,72,35,478,2322.9,1595,288,4205.9
49,0.0,0.05532970942768571,0.0,0.018443236475895238,251,160,81,42,492,2233.9,1760,324,4317.9
50,0.0,0.011650317285786417,0.0,0.003883439095262139,257,132,87,26,476,2287.3,1452,348,4087.3
51,0.0,0.016015418345939628,0.0,0.005338472781979876,230,156,79,26,465,2047.0,1716,316,4079.0
52,0.0,0.05660785796444476,0.0,0.018869285988148254,250,170,75,28,495,2225.0,1870,300,4395.0
53,0.0,0.0072111286771861065,0.0,0.0024037095590620353,254,167,86,30,507,2260.6,1837,344,4441.6
54,0.0,0.08263786972092417,0.0,0.02754595657364139,243,186,56,15,485,2162.7000000000003,2046,224,4432.700000000001
55,0.0,0.049861127718275354,0.0,0.016620375906091785,269,160,74,26,503,2394.1,1760,296,4450.1
56,0.0,0.015197750940500741,0.0,0.005065916980166914,233,157,78,17,468,2073.7000000000003,1727,312,4112.700000000001
57,0.0,0.0470126283234159,0.0,0.0156708761078053,261,148,65,28,474,2322.9,1628,260,4210.9
58,0.0,0.021221276237150803,0.0,0.007073758745716935,278,162,72,21,512,2474.2000000000003,1782,288,4544.200000000001
59,0.0,0.03838950237572716,0.0,0.012796500791909053,259,152,76,21,487,2305.1,1672,304,4281.1
60,0.0,0.015342630509740569,0.0,0.005114210169913523,256,157,74,28,487,2278.4,1727,296,4301.4
61,0.0,0.0595805910379985,0.0,0.019860197012666166,271,142,75,19,488,2411.9,1562,300,4273.9
62,0.0,0.08917705388520838,0.0,0.029725684628402794,246,147,86,30,479,2189.4,1617,344,4150.4
63,0.0,0.05966863915769107,0.0,0.019889546385897024,262,119,72,27,453,2331.8,1309,288,3928.8
64,0.0,0.09493737279440456,0.0,0.03164579093146819,240,148,74,34,462,2136.0,1628,296,4060.0
65,0.0,0.060765544018391786,0.0,0.02025518133946393,258,159,73,24,490,2296.2000000000003,1749,292,4337.200000000001
66,0.0,0.007237582891824688,0.0,0.0024125276306082295,257,167,69,33,493,2287.3,1837,276,4400.3
67,0.0,0.05349006919022986,0.0,0.017830023063409955,253,149,69,28,471,2251.7000000000003,1639,276,4166.700000000001
68,0.0,0.009332864156147369,0.0,0.0031109547187157895,265,165,91,23,521,2358.5,1815,364,4537.5
69,0.0,0.0010437815187933372,0.0,0.0003479271729311124,264,155,77,32,496,2349.6,1705,308,4362.6
70,0.0,0.08768792724297561,0.0,0.02922930908099187,266,156,82,23,504,2367.4,1716,328,4411.4
71,0.0,0.09718582555764112,0.0,0.032395275185880375,286,143,79,28,508,2545.4,1573,316,4434.4
72,0.0,0.03907090324351881,0.0,0.01302363441450627,276,153,65,25,494,2456.4,1683,260,4399.4
73,0.0,0.012224335482225986,0.0,0.004074778494075329,226,154,84,28,464,2011.4,1694,336,4041.4
74,0.0,0.016235467480189718,0.0,0.005411822493396573,263,142,69,17,474,2340.7000000000003,1562,276,4178.700000000001
75,0.0,0.047222778894591186,0.0,0.015740926298197063,275,131,79,26,485,2447.5,1441,316,4204.5
76,0.0,0.09890010595401973,0.0,0.03296670198467324,250,158,66,26,474,2225.0,1738,264,4227.0
77,0.0,0.007540940675576357,0.0,0.0025136468918587856,239,143,80,20,462,2127.1,1573,320,4020.1
78,0.0,0.041337797500422574,0.0,0.013779265833474191,281,140,69,25,490,2500.9,1540,276,4316.9
79,0.0,0.1268216997986999,0.0,0.04227389993289996,258,163,73,26,494,2296.2000000000003,1793,292,4381.200000000001
80,0.0,0.07023971516122553,0.0,0.023413238387075177,274,150,86,35,510,2438.6,1650,344,4432.6
81,0.0,0.08624853723651718,0.0,0.028749512412172395,236,156,64,27,456,2100.4,1716,256,4072.4
82,0.0,0.05268069969353094,0.0,0.01756023323117698,268,152,83,27,503,2385.2000000000003,1672,332,4389.200000000001
83,0.0,0.0570383338939865,0.0,0.019012777964662168,241,136,86,35,463,2144.9,1496,344,3984.9
84,0.0,0.03248188585717027,0.0,0.010827295285723423,249,165,66,31,480,2216.1,1815,264,4295.1
85,0.0,0.13600379513176486,0.0,0.04533459837725495,275,164,68,21,507,2447.5,1804,272,4523.5
86,0.0,0.06754160284117924,0.0,0.022513867613726413,248,147,72,31,467,2207.2000000000003,1617,288,4112.200000000001
87,0.0,0.17992542674101727,0.0,0.05997514224700576,268,170,74,26,512,2385.2000000000003,1870,296,4551.200000000001
88,0.0,0.0,0.0,0.0,270,141,61,32,472,2403.0,1551,244,4198.0
89,0.0,0.016221385711986433,0.0,0.005407128570662144,239,159,77,23,475,2127.1,1749,308,4184.1
90,0.0,0.04438595230548237,0.0,0.01479531743516079,246,161,90,25,497,2189.4,1771,360,4320.4
91,0.0,0.14102489256801826,0.0,0.04700829752267275,266,157,79,25,502,2367.4,1727,316,4410.4
92,0.0,0.0874502704814792,0.0,0.029150090160493067,246,164,61,27,471,2189.4,1804,244,4237.4
93,0.0,0.07318834190394725,0.0,0.024396113967982417,248,148,66,19,462,2207.2000000000003,1628,264,4099.200000000001
94,0.0,0.0,0.0,0.0,255,143,86,26,484,2269.5,1573,344,4186.5
95,0.0,0.05229459711665902,0.0,0.017431532372219675,242,174,62,22,478,2153.8,1914,248,4315.8
96,0.0,0.03303911351143489,0.0,0.011013037837144963,265,139,76,24,480,2358.5,1529,304,4191.5
97,0.0,0.0,0.0,0.0,247,162,75,29,484,2198.3,1782,300,4280.3
98,0.0,0.00817910702335042,0.0,0.0027263690077834733,275,134,87,24,496,2447.5,1474,348,4269.5
99,0.0,0.05575830565079856,0.0,0.01858610188359952,266,146,85,30,497,2367.4,1606,340,4313.4
